id_municipio,Municipio,muni_clean,provincia,poblacion,censo,1_avance,particip_1_avance,2_avance,particip_2_avance,total_votantes,particip_total,v_nulos,votos_validos,v_blanco,total_votos_candid,ganador,por_ganador,segundo,por_segundo,PSOE,PP,Cs,Podemos,VOX,UPL,XAV,Otros,psoe_por,pp_por,cs_por,podemos_por,vox_por,upl_por,xav_por,otros_por
05175,EL OSO,El Oso,Ávila,149,150,63,"42,0",98,"65,3",134,"89,3",2,132,2,130,Cs,"73,5",Otros,"22,7",0,3,97,0,0,0,0,30,"0,0","2,3","73,5","0,0","0,0","0,0","0,0","22,7"
05176,PADIERNOS,Padiernos,Ávila,280,219,68,"31,1",140,"63,9",179,"81,7",2,177,3,174,XAV,"39,0",PSOE,"25,4",45,29,13,5,7,0,69,6,"25,4","16,4","7,3","2,8","4,0","0,0","39,0","3,4"
05177,PAJARES DE ADAJA,Pajares de Adaja,Ávila,137,142,66,"46,5",95,"66,9",121,"85,2",3,118,0,118,PSOE,"52,5",PP,"23,7",62,28,13,6,3,0,4,2,"52,5","23,7","11,0","5,1","2,5","0,0","3,4","1,7"
05178,PALACIOS DE GODA,Palacios de Goda,Ávila,387,345,158,"45,8",246,"71,3",300,"87,0",7,293,3,290,PP,"50,2",Cs,"17,1",49,147,50,8,20,0,11,5,"16,7","50,2","17,1","2,7","6,8","0,0","3,8","1,7"
05179,PAPATRIGO,Papatrigo,Ávila,228,199,102,"51,3",156,"78,4",180,"90,5",1,179,1,178,PP,"65,4",Cs,"15,6",21,117,28,1,8,0,3,0,"11,7","65,4","15,6","0,6","4,5","0,0","1,7","0,0"
05180,EL PARRAL,El Parral,Ávila,61,82,23,"28,0",42,"51,2",60,"73,2",1,59,2,57,PP,"64,4",PSOE,"11,9",7,38,7,0,1,0,3,1,"11,9","64,4","11,9","0,0","1,7","0,0","5,1","1,7"
05181,PASCUALCOBO,Pascualcobo,Ávila,41,47,25,"53,2",32,"68,1",42,"89,4",0,42,0,42,PP,"52,4",PSOE,"23,8",10,22,2,2,6,0,0,0,"23,8","52,4","4,8","4,8","14,3","0,0","0,0","0,0"
05182,PEDRO BERNARDO,Pedro Bernardo,Ávila,807,722,356,"49,3",467,"64,7",541,"74,9",13,528,1,527,PP,"32,0",XAV,"29,7",101,169,56,19,20,0,157,5,"19,1","32,0","10,6","3,6","3,8","0,0","29,7","0,9"
05183,PEDRO-RODRIGUEZ,Pedro-Rodríguez,Ávila,135,124,68,"54,8",95,"76,6",107,"86,3",0,107,0,107,PP,"57,0",PSOE,"20,6",22,61,16,1,5,0,1,1,"20,6","57,0","15,0","0,9","4,7","0,0","0,9","0,9"
05184,PEGUERINOS,Peguerinos,Ávila,273,240,110,"45,8",162,"67,5",212,"88,3",0,212,0,212,PP,"49,5",PSOE,"34,0",72,105,11,12,10,0,0,2,"34,0","49,5","5,2","5,7","4,7","0,0","0,0","0,9"
05185,PEÑALBA DE AVILA,Peñalba de Ávila,Ávila,116,90,36,"40,0",51,"56,7",70,"77,8",1,69,1,68,PP,"56,5",PSOE,"17,4",12,39,5,0,8,0,4,0,"17,4","56,5","7,2","0,0","11,6","0,0","5,8","0,0"
05186,PIEDRAHITA,Piedrahíta,Ávila,1754,1558,640,"41,1",932,"59,8",1241,"79,7",12,1229,13,1216,PP,"45,2",PSOE,"26,0",320,555,159,91,62,0,15,14,"26,0","45,2","12,9","7,4","5,0","0,0","1,2","1,1"
05187,PIEDRALAVES,Piedralaves,Ávila,2136,1730,756,"43,7",1079,"62,4",1359,"78,6",28,1331,26,1305,PP,"39,6",PSOE,"32,7",435,527,140,98,54,0,9,42,"32,7","39,6","10,5","7,4","4,1","0,0","0,7","3,2"
05188,POVEDA,Poveda,Ávila,38,41,22,"53,7",30,"73,2",36,"87,8",0,36,0,36,XAV,"41,7",PP,"36,1",6,13,2,0,0,0,15,0,"16,7","36,1","5,6","0,0","0,0","0,0","41,7","0,0"
05189,POYALES DEL HOYO,Poyales del Hoyo,Ávila,428,395,243,"61,5",291,"73,7",346,"87,6",4,342,1,341,PSOE,"52,9",PP,"33,6",181,115,14,15,12,0,0,4,"52,9","33,6","4,1","4,4","3,5","0,0","0,0","1,2"
05190,POZANCO,Pozanco,Ávila,49,53,27,"50,9",30,"56,6",37,"69,8",0,37,0,37,XAV,"40,5",PP,"27,0",2,10,1,1,8,0,15,0,"5,4","27,0","2,7","2,7","21,6","0,0","40,5","0,0"
05191,PRADOSEGAR,Pradosegar,Ávila,104,125,68,"54,4",91,"72,8",109,"87,2",0,109,1,108,PSOE,"46,8",Cs,"19,3",51,11,21,7,1,0,9,8,"46,8","10,1","19,3","6,4","0,9","0,0","8,3","7,3"
05192,PUERTO CASTILLA,Puerto Castilla,Ávila,114,92,46,"50,0",57,"62,0",84,"91,3",1,83,2,81,PP,"42,2",PSOE,"33,7",28,35,6,8,2,0,0,2,"33,7","42,2","7,2","9,6","2,4","0,0","0,0","2,4"
05193,RASUEROS,Rasueros,Ávila,168,178,99,"55,6",136,"76,4",157,"88,2",0,157,0,157,PP,"54,1",PSOE,"29,9",47,85,16,3,5,0,0,1,"29,9","54,1","10,2","1,9","3,2","0,0","0,0","0,6"
05194,RIOCABADO,Riocabado,Ávila,131,132,64,"48,5",87,"65,9",114,"86,4",0,114,0,114,PP,"35,1",PSOE,"30,7",35,40,23,3,10,0,3,0,"30,7","35,1","20,2","2,6","8,8","0,0","2,6","0,0"
05195,RIOFRÍO,Riofrío,Ávila,196,204,84,"41,2",124,"60,8",144,"70,6",0,144,2,142,PP,"33,3",PSOE,"30,6",44,48,23,5,4,0,18,0,"30,6","33,3","16,0","3,5","2,8","0,0","12,5","0,0"
